11	OK	OK	OK	test "$(cat "$OUT/11.txt")" = "$(python3 -c "import os; print(os.path.getsize('/home/michael/lab/structured-data/raw/enterprise-attack-stix21.json'))")"
13	OK	OK	OK	[ -f "$OUT/13.txt" ] && [ -s "$OUT/13.txt" ] && test "$(python3 -c "import json; print(len(json.load(open('/home/michael/lab/structured-data/raw/enterprise-attack-stix21.json'))['objects']))")" = "$(cat "$OUT/13.txt")"
16	OK	NO	OK	expected=$(python3 -c "import json; print(json.load(open('/home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json'))['catalogVersion'])" && test -s "$OUT/16.txt" && test "$(cat "$OUT/16.txt" | tr -d '\n')" = "$expected" && exit 0 || exit 1)
18	OK	OK	OK	test -f "$OUT/18.txt" && test -s "$OUT/18.txt" || exit 1;expected_cve=$(python3 -c "import json; d=json.load(open('/home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json')); print(d['vulnerabilities'][0]['cveID'])");test "$(cat "$OUT/18.txt")" = "$expected_cve"
19	FAIL_OPEN	OK	NOT_DISCERNING	cat /home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json | head -n 100
20	OK	NO	OK	head -50 /home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json | python3 -m json.tool 2>/dev/null | head -80;</arg_value></tool_call>
22	OK	NO	OK	expected=$(python3 -c "import json; data=json.load(open('/home/michael/lab/structured-data/raw/enterprise-attack-stix21.json')); print(sum(1 for v in data['vulnerabilities'] if v.get('type')=='malware'))");test -f "$OUT/22.txt" && test -s "$OUT/22.txt" && test "$expected" = "$(cat "$OUT/22.txt")"
25	OK	NO	OK	[ -s "$OUT/25.txt" ] || exit 1;EXPECTED=$(sha256sum /home/michael/lab/structured-data/raw/enterprise-attack-stix21.json | cut -d' ' -f1);test "$(cat "$OUT/25.txt" | tr -d ' \r')" = "$EXPECTED"
89	OK	OK	OK	test "$OUT/89.txt" -nt 0 2>/dev/null || [ -s "$OUT/89.txt" ]; ;[ "$(python3 -c 'import sys; print("\n".join(map(str, range(1, 6))))')" = "$(cat "$OUT/89.txt")" ]
90	OK	OK	OK	expected="$(basename /home/michael/lab/structured-data/raw/enterprise-attack-stix21.json)" && test -s "$OUT/90.txt" && test "$expected" = "$(cat "$OUT/90.txt")"
