11	OK	NO	OK	[ -s "$OUT/11.txt" ] && [ "$(wc -c /home/michael/lab/structured-data/raw/enterprise-attack-stix21.json | tr -d '[:space:]')" -eq "$(cat "$OUT/11.txt" | tr -d '[:space:]')" ] || exit 1
13	OK	OK	OK	python3 -c ";import json;import sys;;# Count objects in STIX21 file;with open('/home/michael/lab/structured-data/raw/enterprise-attack-stix21.json', 'r') as f:;    stix = json.load(f);;# Read expected value from file;with open('$OUT/13.txt', 'r') as f:;    expected = int(f.read().strip());;# Compare;sys.exit(0 if len(stix.get('objects', [])) == expected else 1);"
16	OK	NO	OK	[ -s "$OUT/16.txt" ] && [ "$(jq -r '.catalogVersion' /home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json)" = "$(cat "$OUT/16.txt")" ]
18	OK	NO	OK	[ -s "$OUT/18.txt" ] && [ "$(jq -r '.vulnerabilities[0].cveID' /home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json)" = "$(cat "$OUT/18.txt")" ]
19	OK	NO	OK	actual=$(cat "$OUT/19.txt" 2>/dev/null);[ -s "$OUT/19.txt" ] || exit 1;expected=$(python3 -c "import json; data = json.load(open('/home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json')); print(sum(1 for e in data if e.get('knownRansomwareCampaignUse') == 'Known'))");[ "$expected" = "$actual" ]
20	OK	NO	OK	max_val=$(python3 -c "import json; from collections import Counter; data=json.load(open('/home/michael/lab/structured-data/raw/kev/known_exploited_vulnerabilities.json')); vp=[item['vendorProject'] for item in data if 'vendorProject' in item and item['vendorProject']]; print(Counter(vp).most_common(1)[0][0] if vp else '')");[ -s "$OUT/20.txt" ] && [ "$(cat "$OUT/20.txt")" = "$max_val" ]
22	OK	OK	OK	[ -s "$OUT/22.txt" ] && python3 -c "import json; data = json.load(open('/home/michael/lab/structured-data/raw/enterprise-attack-stix21.json')); expected = len([o for o in data.get('objects', []) if o.get('type') == 'malware']); content = open('$OUT/22.txt').read().strip(); exit(0 if str(expected) == content else 1)"
25	OK	OK	OK	if [[ ! -s "$OUT/25.txt" ]]; then exit 1; fi;expected=$(sha256sum /home/michael/lab/structured-data/raw/enterprise-attack-stix21.json | cut -d' ' -f1);actual=$(cut -d' ' -f1 "$OUT/25.txt");[[ "$expected" == "$actual" ]]
89	OK	OK	OK	[ -f "$OUT/89.txt" ] && [ -s "$OUT/89.txt" ] && diff <(printf '1\n2\n3\n4\n5') "$OUT/89.txt" >/dev/null
90	OK	OK	OK	[ -s "$OUT/90.txt" ] && [ "$(basename /home/michael/lab/structured-data/raw/enterprise-attack-stix21.json)" = "$(cat "$OUT/90.txt")" ]
